customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,internet_service,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST00079,Male,0,No,No,39,Yes,DSL,One year,Yes,Bank transfer,59.64,2129.06,No
CUST00080,Female,0,No,No,13,No,No,Month-to-month,Yes,Credit card,27.78,342.99,No
CUST00081,Male,0,Yes,Yes,32,Yes,Fiber optic,One year,Yes,Electronic check,57.36,1912.09,No
CUST00082,Female,1,Yes,No,9,Yes,DSL,One year,Yes,Mailed check,88.88,797.47,Yes
CUST00083,Male,0,No,No,40,Yes,No,One year,Yes,Mailed check,87.1,3482.43,No
CUST00084,Female,0,Yes,No,20,Yes,Fiber optic,Month-to-month,No,Electronic check,36.02,648.7,Yes
CUST00085,Male,0,No,No,63,Yes,No,Month-to-month,Yes,Mailed check,20.78,1221.35,Yes
CUST00086,Male,0,Yes,No,44,Yes,No,Two year,No,Electronic check,95.3,3633.28,No
CUST00087,Female,0,No,Yes,38,Yes,No,Month-to-month,Yes,Electronic check,30.64,1130.91,No
CUST00088,Male,0,Yes,No,60,Yes,DSL,Month-to-month,No,Electronic check,28.23,1474.87,No
CUST00089,Female,0,Yes,Yes,71,Yes,DSL,Month-to-month,No,Credit card,20.27,1463.9,No
CUST00090,Female,0,No,No,48,Yes,Fiber optic,Two year,No,Electronic check,63.26,3075.68,No
CUST00091,Female,0,No,No,18,Yes,Fiber optic,Month-to-month,No,Credit card,70.33,1211.15,No
CUST00092,Female,0,No,No,16,Yes,Fiber optic,Month-to-month,No,Electronic check,83.77,1177.11,No
CUST00093,Female,0,Yes,No,55,Yes,Fiber optic,Month-to-month,No,Credit card,49.61,2333.23,No
CUST00094,Female,0,Yes,No,39,Yes,Fiber optic,One year,No,Credit card,91.04,3583.73,No
CUST00095,Female,1,No,Yes,68,Yes,Fiber optic,Month-to-month,Yes,Credit card,36.93,2435.97,No
CUST00096,Female,0,No,No,59,Yes,DSL,Month-to-month,Yes,Credit card,103.2,6041.22,Yes
CUST00097,Female,0,Yes,Yes,62,Yes,DSL,Month-to-month,Yes,Electronic check,77.18,4358.14,No
CUST00098,Female,0,Yes,No,13,Yes,Fiber optic,Two year,Yes,Electronic check,78.39,970.05,No
CUST00099,Female,0,Yes,Yes,6,Yes,Fiber optic,Month-to-month,Yes,Mailed check,40.98,245.74,Yes
CUST00100,Male,0,No,Yes,60,Yes,DSL,Month-to-month,No,Electronic check,27.41,1550.06,Yes
CUST00101,Male,0,Yes,No,14,No,Fiber optic,Month-to-month,No,Electronic check,66.47,902.92,Yes
CUST00102,Female,0,Yes,Yes,54,Yes,Fiber optic,Two year,Yes,Credit card,81.56,4439.23,No
CUST00103,Female,0,Yes,No,4,Yes,Fiber optic,One year,Yes,Bank transfer,29.5,105.38,No
CUST00104,Female,0,Yes,No,39,Yes,DSL,Two year,No,Bank transfer,115.05,3873.07,No
CUST00105,Female,0,Yes,Yes,72,Yes,Fiber optic,Two year,Yes,Credit card,118.04,8128.03,No
CUST00106,Female,0,Yes,No,25,Yes,DSL,Month-to-month,No,Bank transfer,74.55,1607.34,No
CUST00107,Female,0,Yes,Yes,32,No,No,One year,Yes,Bank transfer,115.01,3692.51,No
CUST00108,Female,0,No,Yes,59,Yes,DSL,Month-to-month,No,Credit card,37.94,2224.68,Yes
CUST00109,Female,0,Yes,No,63,Yes,Fiber optic,Month-to-month,Yes,Electronic check,22.54,1457.43,No
CUST00110,Male,0,No,Yes,38,Yes,DSL,Month-to-month,No,Mailed check,23.94,889.63,No
CUST00111,Female,0,No,No,53,Yes,Fiber optic,Month-to-month,Yes,Credit card,78.75,3603.78,No
CUST00112,Male,0,No,Yes,67,Yes,Fiber optic,Two year,Yes,Credit card,26.16,1578.55,No
CUST00113,Female,0,No,Yes,28,Yes,DSL,Month-to-month,Yes,Credit card,115.85,3281.38,Yes
CUST00114,Female,0,Yes,No,3,Yes,Fiber optic,Two year,Yes,Mailed check,34.19,90.61,No
CUST00115,Male,1,Yes,No,22,Yes,DSL,Month-to-month,No,Credit card,50.47,1098.9,No
CUST00116,Female,1,No,Yes,38,Yes,DSL,Month-to-month,No,Electronic check,102.25,3909.01,Yes
CUST00117,Male,0,No,No,72,Yes,Fiber optic,Two year,Yes,Electronic check,41.87,2761.48,Yes
CUST00118,Female,0,No,Yes,72,Yes,DSL,One year,Yes,Mailed check,44.3,2916.76,No
CUST00119,Female,0,No,No,62,Yes,No,One year,Yes,Mailed check,84.23,5021.52,No
CUST00120,Male,0,No,No,57,Yes,Fiber optic,Month-to-month,No,Electronic check,47.61,2774.17,No
CUST00121,Female,0,Yes,No,6,Yes,Fiber optic,Month-to-month,No,Mailed check,41.74,224.09,No
CUST00122,Male,0,Yes,No,32,Yes,DSL,One year,Yes,Electronic check,45.42,1509.04,No
CUST00123,Female,0,No,No,10,Yes,Fiber optic,One year,No,Mailed check,69.06,669.76,No
CUST00124,Male,0,No,No,3,Yes,Fiber optic,Month-to-month,No,Credit card,116.61,366.77,Yes
CUST00125,Male,0,Yes,No,59,Yes,DSL,Two year,No,Bank transfer,103.22,5285.63,No
CUST00126,Female,0,No,No,49,Yes,Fiber optic,One year,No,Electronic check,48.46,2078.46,No
CUST00127,Female,0,Yes,Yes,59,Yes,DSL,Two year,No,Mailed check,56.34,3375.01,No
CUST00128,Male,0,No,No,31,Yes,Fiber optic,One year,No,Bank transfer,66.45,2107.23,No
CUST00129,Female,0,Yes,No,69,Yes,DSL,One year,Yes,Bank transfer,117.89,7638.96,No
CUST00130,Female,0,Yes,No,62,Yes,No,Month-to-month,No,Mailed check,37.24,2292.29,No
CUST00131,Female,0,No,No,52,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,55.75,2967.16,No
CUST00132,Male,1,Yes,No,41,Yes,DSL,Two year,Yes,Credit card,92.94,3271.83,No
CUST00133,Male,0,No,Yes,31,Yes,DSL,Month-to-month,Yes,Electronic check,116.39,3481.05,Yes
CUST00134,Male,0,No,Yes,22,Yes,Fiber optic,Month-to-month,No,Mailed check,35.57,798.74,Yes
CUST00135,Male,0,No,No,4,Yes,No,Month-to-month,Yes,Mailed check,42.74,158.93,No
CUST00136,Male,0,Yes,No,13,Yes,DSL,Month-to-month,Yes,Bank transfer,42.57,503.87,No
CUST00137,Male,0,Yes,No,45,Yes,DSL,Two year,Yes,Electronic check,22.09,1003.14,No
CUST00138,Male,0,Yes,No,42,Yes,Fiber optic,Two year,Yes,Electronic check,80.41,3097.44,No
CUST00139,Male,0,No,No,49,Yes,Fiber optic,Month-to-month,Yes,Electronic check,87.07,3629.17,No
CUST00140,Male,0,No,No,20,Yes,Fiber optic,Month-to-month,No,Credit card,80.25,1672.27,No
CUST00141,Female,0,No,Yes,54,Yes,Fiber optic,One year,No,Bank transfer,27.13,1418.76,No
CUST00142,Male,0,No,Yes,36,Yes,DSL,One year,Yes,Bank transfer,26.92,982.59,No
CUST00143,Female,0,No,No,1,Yes,No,Two year,No,Credit card,41.04,41.66,No
CUST00144,Female,0,No,No,15,Yes,Fiber optic,Month-to-month,No,Electronic check,49.03,634.9,Yes
CUST00145,Female,0,Yes,Yes,17,Yes,DSL,Month-to-month,Yes,Credit card,98.65,1482.8,Yes
CUST00146,Male,1,No,No,24,Yes,Fiber optic,Month-to-month,No,Bank transfer,35.94,786.85,No
CUST00147,Male,0,Yes,No,58,Yes,Fiber optic,Two year,No,Electronic check,24.41,1294.22,No
CUST00148,Male,0,No,No,72,Yes,DSL,One year,Yes,Credit card,59.4,4198.78,No
CUST00149,Male,0,No,No,23,Yes,Fiber optic,One year,Yes,Credit card,61.64,1381.75,Yes
CUST00150,Female,0,No,No,46,Yes,DSL,Month-to-month,No,Credit card,65.09,2841.19,Yes
CUST00151,Male,0,Yes,Yes,72,Yes,Fiber optic,One year,Yes,Electronic check,102.69,6597.03,No
CUST00152,Male,0,Yes,No,8,Yes,No,One year,Yes,Credit card,29.8,220.85,No
CUST00153,Male,0,Yes,No,59,Yes,DSL,Month-to-month,Yes,Credit card,90.39,5112.86,No
CUST00154,Male,0,Yes,Yes,59,Yes,Fiber optic,Month-to-month,Yes,Mailed check,53.79,2994.61,No
CUST00155,Male,0,Yes,No,13,Yes,Fiber optic,Month-to-month,No,Electronic check,51.0,580.43,Yes
CUST00156,Female,0,No,No,39,Yes,No,Month-to-month,Yes,Electronic check,113.25,4327.98,No
CUST00157,Male,0,No,No,28,Yes,Fiber optic,Month-to-month,Yes,Credit card,44.85,1085.78,No
CUST00158,Female,0,Yes,No,61,Yes,Fiber optic,Month-to-month,No,Bank transfer,84.25,4757.09,Yes
CUST00159,Male,0,Yes,Yes,16,Yes,Fiber optic,Month-to-month,Yes,Mailed check,47.51,754.08,Yes
CUST00160,Female,0,Yes,No,2,Yes,No,Month-to-month,Yes,Electronic check,70.71,120.77,Yes
CUST00161,Male,0,No,No,17,Yes,No,Month-to-month,Yes,Electronic check,98.63,1616.34,Yes
CUST00162,Male,1,Yes,No,30,Yes,DSL,Two year,No,Bank transfer,108.17,2975.45,No
CUST00163,Female,0,No,Yes,13,Yes,Fiber optic,One year,Yes,Mailed check,103.87,1150.15,No
CUST00164,Female,0,Yes,No,13,Yes,Fiber optic,One year,No,Credit card,78.22,903.05,Yes
CUST00165,Female,0,No,No,43,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,44.88,2003.54,Yes
CUST00166,Male,0,No,Yes,21,Yes,Fiber optic,One year,Yes,Credit card,86.12,1725.74,Yes
CUST00167,Female,0,Yes,Yes,55,Yes,Fiber optic,Month-to-month,Yes,Electronic check,90.99,5251.9,Yes
CUST00168,Male,0,No,No,40,Yes,No,Two year,Yes,Electronic check,21.07,804.84,No
CUST00169,Male,0,Yes,No,15,Yes,DSL,Month-to-month,No,Mailed check,63.92,919.29,No
CUST00170,Female,0,No,No,52,No,DSL,One year,Yes,Electronic check,104.33,5036.55,Yes
CUST00171,Female,0,Yes,No,53,Yes,Fiber optic,Month-to-month,No,Electronic check,68.96,3333.28,No
CUST00172,Male,1,No,No,52,Yes,DSL,One year,Yes,Credit card,51.14,2394.17,No
CUST00173,Male,0,No,No,30,Yes,DSL,Month-to-month,No,Mailed check,107.18,2953.94,No
CUST00174,Female,0,No,Yes,33,Yes,DSL,Month-to-month,No,Electronic check,35.59,1106.32,No
CUST00175,Female,0,No,No,57,No,Fiber optic,Month-to-month,No,Electronic check,40.64,2057.96,Yes
CUST00176,Female,1,Yes,Yes,52,Yes,No,One year,Yes,Electronic check,88.74,4129.84,Yes
CUST00177,Male,0,Yes,No,9,Yes,Fiber optic,Two year,Yes,Credit card,55.24,449.59,No
CUST00178,Male,0,Yes,Yes,54,Yes,Fiber optic,Two year,Yes,Electronic check,91.3,4633.66,Yes
CUST00179,Male,1,Yes,Yes,1,No,DSL,Month-to-month,No,Electronic check,35.77,35.07,No
CUST00180,Male,1,No,No,44,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,45.23,2032.37,No
CUST00181,Male,0,Yes,Yes,9,Yes,Fiber optic,Two year,No,Electronic check,35.66,291.23,Yes
CUST00182,Male,0,No,No,32,Yes,Fiber optic,Month-to-month,No,Electronic check,115.29,3271.45,Yes
CUST00183,Female,0,No,Yes,15,Yes,DSL,One year,Yes,Electronic check,60.54,840.69,No
CUST00184,Male,0,No,No,12,Yes,DSL,Two year,No,Electronic check,53.72,663.26,Yes
CUST00185,Male,1,Yes,No,57,Yes,DSL,Two year,No,Electronic check,21.42,1040.21,No
CUST00186,Male,0,No,Yes,8,Yes,Fiber optic,Month-to-month,No,Electronic check,35.34,278.64,Yes
CUST00187,Female,0,No,Yes,72,Yes,Fiber optic,Month-to-month,Yes,Credit card,62.11,4227.9,No
CUST00188,Male,0,Yes,No,27,Yes,No,Month-to-month,Yes,Electronic check,26.85,639.56,Yes
CUST00189,Male,0,No,No,62,Yes,Fiber optic,One year,Yes,Credit card,71.07,4028.29,No
CUST00190,Female,0,No,No,12,Yes,Fiber optic,Month-to-month,No,Credit card,65.5,703.46,No
CUST00191,Male,0,Yes,No,65,No,No,Month-to-month,Yes,Bank transfer,96.72,6447.53,No
CUST00192,Male,0,Yes,No,42,Yes,DSL,Month-to-month,Yes,Electronic check,85.98,3417.51,No
CUST00193,Male,0,Yes,Yes,62,Yes,Fiber optic,Month-to-month,No,Electronic check,64.59,3854.88,No
CUST00194,Male,0,Yes,No,11,Yes,No,One year,Yes,Bank transfer,42.47,452.57,No
CUST00195,Male,0,Yes,No,43,Yes,DSL,One year,No,Bank transfer,92.69,3897.68,No
CUST00196,Female,0,Yes,No,17,Yes,No,Month-to-month,No,Bank transfer,90.79,1464.89,No
CUST00197,Female,0,Yes,No,32,Yes,No,Month-to-month,No,Electronic check,35.33,965.02,No
CUST00198,Female,0,Yes,No,40,Yes,Fiber optic,Two year,No,Credit card,111.48,4088.84,No
CUST00199,Male,0,No,No,23,Yes,Fiber optic,Month-to-month,Yes,Electronic check,26.44,539.27,Yes
CUST00200,Male,0,No,No,56,Yes,Fiber optic,One year,Yes,Mailed check,25.5,1408.05,No
CUST00201,Male,0,No,No,6,Yes,Fiber optic,Two year,No,Mailed check,38.74,200.21,Yes
CUST00202,Female,0,Yes,No,50,Yes,DSL,Month-to-month,Yes,Electronic check,110.95,5340.91,No
CUST00203,Male,0,Yes,Yes,37,No,DSL,Month-to-month,Yes,Mailed check,72.0,2376.62,Yes
CUST00204,Male,0,Yes,Yes,64,Yes,DSL,Two year,No,Bank transfer,98.79,6574.0,No
CUST00205,Female,0,Yes,No,54,Yes,Fiber optic,Month-to-month,Yes,Credit card,42.78,2118.63,Yes
CUST00206,Male,1,Yes,No,72,Yes,DSL,Month-to-month,No,Credit card,69.02,4547.26,No
CUST00207,Female,0,No,Yes,49,Yes,DSL,Month-to-month,No,Mailed check,55.83,2830.53,No
CUST00208,Female,0,Yes,Yes,11,Yes,DSL,Month-to-month,No,Bank transfer,102.78,1055.36,No
CUST00209,Female,0,No,Yes,49,Yes,Fiber optic,Two year,No,Electronic check,22.26,1137.18,No
CUST00210,Male,0,No,Yes,21,Yes,No,Two year,No,Mailed check,44.38,796.69,No
CUST00211,Male,0,Yes,No,66,Yes,No,One year,No,Electronic check,35.26,2120.67,Yes
CUST00212,Male,0,Yes,No,63,Yes,Fiber optic,Month-to-month,Yes,Mailed check,105.92,6561.11,No
CUST00213,Male,0,No,No,28,Yes,No,Month-to-month,Yes,Electronic check,66.75,1921.65,No
CUST00214,Male,0,Yes,No,17,No,Fiber optic,One year,No,Mailed check,60.42,925.74,No
CUST00215,Male,0,Yes,Yes,6,Yes,Fiber optic,Month-to-month,No,Bank transfer,64.95,403.77,No
CUST00216,Male,1,No,Yes,19,Yes,Fiber optic,One year,Yes,Credit card,117.19,2157.19,No
CUST00217,Female,0,Yes,No,56,Yes,DSL,Month-to-month,Yes,Mailed check,105.03,5941.68,Yes
CUST00218,Male,1,No,No,28,Yes,No,One year,No,Credit card,90.64,2358.85,No
CUST00219,Female,0,No,No,66,Yes,Fiber optic,One year,Yes,Bank transfer,49.05,2889.08,No
CUST00220,Male,0,Yes,Yes,38,Yes,Fiber optic,Month-to-month,No,Mailed check,36.52,1432.51,No
CUST00221,Male,1,Yes,No,37,No,Fiber optic,Month-to-month,No,Bank transfer,112.14,4301.15,No
CUST00222,Male,0,Yes,No,68,Yes,DSL,Month-to-month,Yes,Electronic check,62.31,4023.17,Yes
CUST00223,Female,0,Yes,No,49,Yes,DSL,Month-to-month,No,Credit card,47.88,1997.25,No
CUST00224,Female,0,Yes,No,43,Yes,Fiber optic,One year,Yes,Bank transfer,67.09,2515.48,Yes
CUST00225,Female,0,No,No,36,No,DSL,One year,No,Credit card,111.78,3881.65,No
CUST00226,Female,1,Yes,No,58,Yes,Fiber optic,One year,Yes,Bank transfer,58.71,2910.6,No
CUST00227,Male,0,Yes,Yes,13,Yes,Fiber optic,Two year,No,Credit card,76.26,921.37,No
CUST00228,Female,0,No,Yes,52,Yes,Fiber optic,Month-to-month,Yes,Credit card,100.3,4749.71,No
CUST00229,Male,0,No,Yes,58,Yes,Fiber optic,Month-to-month,Yes,Mailed check,62.71,3611.25,Yes
CUST00230,Male,0,No,No,32,Yes,Fiber optic,Month-to-month,Yes,Electronic check,43.35,1194.54,Yes
CUST00231,Female,0,Yes,No,60,Yes,Fiber optic,One year,Yes,Mailed check,119.45,6792.5,No
CUST00232,Female,0,No,No,58,Yes,Fiber optic,Month-to-month,Yes,Mailed check,115.66,6479.01,No
CUST00233,Female,0,No,Yes,56,Yes,Fiber optic,Two year,Yes,Electronic check,104.35,5688.5,No
CUST00234,Female,0,Yes,No,28,Yes,Fiber optic,Month-to-month,Yes,Credit card,88.84,2315.96,Yes
CUST00235,Female,0,Yes,No,1,Yes,No,Two year,No,Bank transfer,49.49,45.08,Yes
CUST00236,Female,1,No,No,42,Yes,DSL,Two year,No,Credit card,111.34,4613.14,No
CUST00237,Female,0,Yes,No,48,Yes,Fiber optic,Month-to-month,No,Credit card,47.56,2327.43,Yes
CUST00238,Female,0,Yes,No,40,Yes,No,Month-to-month,No,Bank transfer,100.08,3958.06,No
CUST00239,Male,0,Yes,No,63,Yes,Fiber optic,One year,Yes,Credit card,111.83,7301.88,No
CUST00240,Female,0,Yes,Yes,72,Yes,DSL,Month-to-month,Yes,Mailed check,80.3,5743.75,No
CUST00241,Female,0,No,No,4,No,Fiber optic,Month-to-month,Yes,Credit card,100.31,402.41,No
CUST00242,Male,0,No,Yes,38,Yes,DSL,One year,No,Mailed check,99.17,3329.74,No
CUST00243,Female,0,No,Yes,27,Yes,DSL,Month-to-month,No,Mailed check,39.32,991.47,No
CUST00244,Male,0,Yes,Yes,9,Yes,No,One year,Yes,Mailed check,86.79,739.72,No
CUST00245,Male,0,Yes,No,16,Yes,Fiber optic,One year,Yes,Bank transfer,29.35,423.23,No
CUST00246,Female,1,Yes,No,56,No,DSL,Month-to-month,Yes,Bank transfer,70.79,3788.66,No
CUST00247,Male,0,Yes,No,31,Yes,No,Month-to-month,No,Mailed check,36.22,1019.7,Yes
CUST00248,Male,0,Yes,Yes,14,Yes,No,Month-to-month,No,Electronic check,61.63,852.04,No
CUST00249,Male,1,No,No,25,Yes,Fiber optic,One year,Yes,Credit card,103.3,2438.03,No
CUST00250,Male,0,Yes,No,34,Yes,DSL,Month-to-month,Yes,Bank transfer,118.72,3801.4,No
CUST00251,Female,0,No,No,67,Yes,Fiber optic,Two year,No,Mailed check,51.8,3632.78,No
CUST00252,Male,1,Yes,No,24,Yes,Fiber optic,Month-to-month,No,Bank transfer,73.2,1631.17,Yes
CUST00253,Female,0,Yes,Yes,26,Yes,Fiber optic,Month-to-month,Yes,Credit card,71.13,1705.98,No
CUST00254,Male,0,Yes,No,20,No,No,Month-to-month,No,Credit card,115.44,2109.6,No
CUST00255,Male,0,No,No,64,Yes,Fiber optic,Month-to-month,Yes,Mailed check,67.86,4468.77,No
CUST00256,Male,0,No,Yes,10,Yes,DSL,Month-to-month,No,Electronic check,89.91,853.56,No
CUST00257,Male,0,No,No,67,Yes,Fiber optic,One year,No,Mailed check,112.18,7290.6,No
CUST00258,Female,0,Yes,No,24,Yes,DSL,Month-to-month,Yes,Mailed check,57.34,1219.5,Yes
CUST00259,Female,1,Yes,No,5,Yes,Fiber optic,Month-to-month,Yes,Credit card,110.21,528.01,Yes
